ARS20190301082039.BILL;31;114714818;10637005;114714818;00419002;31.03.20190;01.03.2019;31.03.2019;-668 312,39;0,00;0,00;0,00;0;0,00;0,00;-668 312,39;668 312,39;
ARS20190301082039.BILL;32;114714842;10654905;114714842;00419003;31.03.20190;01.03.2019;31.03.2019;5 000,00;0,00;0,00;0,00;0;0,00;0,00;5 000,00;0,00;
ARS20190301082039.BILL;33;114714895;10689605;114714895;00419004;31.03.20190;01.03.2019;31.03.2019;132,21;0,00;0,00;0,00;0;116,41;0,00;15,80;0,00;
ARS20190301082039.BILL;34;114714903;10693405;114714903;00419005;31.03.20190;01.03.2019;31.03.2019;-4 833,17;2 590,00;0,00;0,00;0;2 590,00;0,00;-4 833,17;4 833,17;
ARS20190301082039.BILL;35;114714908;10697005;114714908;00419006;31.03.20190;01.03.2019;31.03.2019;2 538,97;0,00;0,00;0,00;0;0,00;0,00;2 538,97;0,00;
ARS20190301082039.BILL;36;114714922;10703805;114714922;00419007;31.03.20190;01.03.2019;31.03.2019;-1 404,29;0,00;0,00;0,00;0;0,00;0,00;-1 404,29;1 404,29;
ARS20190301082039.BILL;37;114714927;10705605;114714927;00419008;31.03.20190;01.03.2019;31.03.2019;-3 258,09;5 500,00;0,00;0,00;0;10 251,51;0,00;-8 009,60;8 009,60;
ARS20190301082039.BILL;38;114715014;10756005;114715014;00419010;31.03.20190;01.03.2019;31.03.2019;-33 039,00;33 039,00;0,00;0,00;0;147,00;16 500,00;-16 647,00;16 647,00;
ARS20190301082039.BILL;39;114715093;10800505;114715093;00419011;31.03.20190;01.03.2019;31.03.2019;-72 222,85;0,00;0,00;0,00;0;1 550,00;0,00;-73 772,85;73 772,85;
ARS20190301082039.BILL;40;114715158;10831805;114715158;00419012;31.03.20190;01.03.2019;31.03.2019;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0,00;
ARS20190301082039.BILL;41;114715177;10842305;114715177;00419013;31.03.20190;01.03.2019;31.03.2019;-29 561,12;0,00;0,00;0,00;0;0,00;0,00;-29 561,12;29 561,12;
ARS20190301082039.BILL;42;114715235;10880105;114715235;00419014;31.03.20190;01.03.2019;31.03.2019;-212 152,39;0,00;0,00;0,00;0;2 065,12;0,00;-214 217,51;214 217,51;
ARS20190301082039.BILL;43;114715274;10898305;114715274;00419016;31.03.20190;01.03.2019;31.03.2019;-5 183,62;2 900,00;0,00;0,00;0;3 024,00;0,00;-5 307,62;5 307,62;
ARS20190301082039.BILL;44;114715306;10910805;114715306;00419017;31.03.20190;01.03.2019;31.03.2019;125,00;780,00;0,00;0,00;0;810,00;0,00;95,00;0,00;
ARS20190301082039.BILL;45;114715516;11050305;114715516;00419021;31.03.20190;01.03.2019;31.03.2019;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;0,00;
ARS20190301082039.BILL;46;114715595;11101905;114715595;00419022;31.03.20190;01.03.2019;31.03.2019;3 500,00;0,00;0,00;0,00;0;0,00;0,00;3 500,00;0,00;
ARS20190301082039.BILL;47;114715616;11114505;114715616;00419023;31.03.20190;01.03.2019;31.03.2019;-0,01;0,00;0,00;0,00;0;0,00;0,00;-0,01;0,01;
ARS20190301082039.BILL;48;114715683;11157305;114715683;00419024;31.03.20190;01.03.2019;31.03.2019;1 076,14;0,00;0,00;0,00;0;0,00;0,00;1 076,14;0,00;
ARS20190301082039.BILL;49;114715702;11171905;114715702;00419025;31.03.20190;01.03.2019;31.03.2019;-347,23;0,00;0,00;0,00;0;0,00;0,00;-347,23;347,23;
